frame,centroid_x,centroid_y,normalized_x,normalized_y,left_end_x,right_end_x,top_end_y,bottom_end_y
101,57,22,1.0,0.4583333333333333,14,17,0,47
102,59,23,1.0,0.46938775510204084,15,18,0,48
103,58,23,1.0,0.46938775510204084,15,18,0,48
104,58,23,1.0,0.46938775510204084,8,11,0,48
105,58,22,1.0,0.4583333333333333,10,13,0,47
106,58,23,1.0,0.46938775510204084,10,13,0,48
